church_name,pastor,district,address,state,zip_code,phone
Revive Church Hilltop,Reverend Steven R Steward,Ohio,"3220 Sullivant Ave Columbus, OH 43204",OH,43204,(614) 602-1665
RISE Discipleship Network,Reverend Matthew D Ostermeyer,Ohio,"5380 Amy Ln Columbus, OH 43235",OH,43235,(317) 439-5191
Risen Church,Reverend Paul J Simpson,Ohio,"321 Edgar Ave Dayton, OH 45410",OH,45410,(937) 254-7522
River of Life Assembly of God,Reverend Ralph R Ollendick,Ohio,"1793 US Highway 52 Moscow, OH 45153",OH,45153,(513) 553-6721
River of Life Assembly of God - Akron,Reverend Diane L Richmond,Ohio,"133 5th St SE Ste A Barberton, OH 44203",OH,44203,(234) 718-3328
Rock of Grace Family Ministries Assembly of God,Reverend Jordan M Biel,Ohio,"6745 State Route 5 Kinsman, OH 44428",OH,44428,(330) 859-4096
Rock of Grace Warren Campus,Reverend Andrew W Pitts,Ohio,"137 Vine Ave SE Warren, OH 44483",OH,44483,(330) 545-1601
Rock of Hope Ministries,Reverend Brian J McCumbers,Ohio,"12600 Marlboro Ave NE Alliance, OH 44601",OH,44601,(330) 935-2984
Rockside Church,Reverend Michele R Thompson,Ohio,"4100 Rockside Rd Independence, OH 44131",OH,44131,(216) 650-6780
Rogers Assembly of God,"Reverend Kenneth P Sevacko, Jr.",Ohio,"8251 Sprucevale Rd Rogers, OH 44455",OH,44455,(330) 227-3326
Rosemary Community Dinner,,Ohio,"1035 Rosemary Blvd Akron, OH 44306",OH,44306,(330) 335-1594
RUSH Church Assembly of God,Reverend James J Barton,Ohio,"5245 Glenwood Ave Boardman, OH 44512",OH,44512,(330) 503-2838
Rust City Church Niles Campus,,Ohio,"105B Eastwood Mall Blvd Niles, OH 44446",OH,44446,(330) 299-8686
Second Chances,Reverend Patricia S Cook,Ohio,"1630 Broadway St Toledo, OH 43609",OH,43609,(419) 346-0956
Shalom Pentecostal Church,Reverend Alex Abraham,Ohio,"8405 Pulsar Pl Columbus, OH 43240",OH,43240,(802) 874-2225
Simple Church Ohio,Reverend J Aaron DeLong,Ohio,"3043 Gender Rd Reynoldsburg, OH 43068",OH,43068,(614) 655-1015
Sonlight Church and Community Center,Reverend Douglas L Cooper,Ohio,"19920 Sand Ridge Rd Weston, OH 43569",OH,43569,(419) 669-2401
South Charleston Christian Center,,Ohio,"328 E Jamestown St South Charleston, OH 45368",OH,45368,(937) 462-8654
Summit Assembly of God,Reverend Luke J Breese,Ohio,"2615 Salt Springs Rd Mc Donald, OH 44437",OH,44437,(330) 349-6984
Summit City Church,Reverend W Jason Vickery,Ohio,"7950 Pfeiffer Rd Cincinnati, OH 45242",OH,45242,(513) 793-6169
The Cross Community Church Assembly of God,Reverend Randall S McKinney,Ohio,"525 N Abbe Rd Elyria, OH 44035",OH,44035,(440) 366-8871
The Dwelling Place,Reverend Harold D Schutte,Ohio,"8201 Angola Rd Holland, OH 43528",OH,43528,(419) 867-7794
The Family Church of Pickerington,Reverend Adam S Dinnell,Ohio,"13475 Tollgate Rd Pickerington, OH 43147",OH,43147,(614) 829-6107
The Forge Church,,Ohio,"5173 US Hwy 50 W Bainbridge, OH 45612",OH,45612,(740) 701-4104
The Gathering Church,Reverend Matthew J Mason,Ohio,"333 N Maple St Marysville, OH 43040",OH,43040,(614) 563-4265
The Grove Church,Reverend Eric M Zimmer,Ohio,"4371 Grove City Rd Grove City, OH 43123",OH,43123,(614) 594-9002
The Lighthouse,Reverend Cary K Wadle,Ohio,"315 Graham Rd Cuyahoga Falls, OH 44223",OH,44223,(330) 928-9044
The Meeting Place,"Reverend Robert I Willard, Jr.",Ohio,"12302 Buckeye Rd Cleveland, OH 44120",OH,44120,(216) 938-9400
The River Church - Warren,Reverend Mikel G Lagaras,Ohio,"4257 Tod Ave NW Warren, OH 44485",OH,44485,(330) 898-5539
The Rock,,Ohio,"4058 Starr Ave Oregon, OH 43616",OH,43616,(419) 691-4400
The Shelter House Assembly of God,Reverend Joab L Rowland,Ohio,"8460 S River Rd Blue Rock, OH 43720",OH,43720,(740) 252-9343
The Table - Canton Main Campus,Christine N Snodgrass,Ohio,"711 25th St NW Canton, OH 44709",OH,44709,(330) 492-9290
The Table - Chantry,,Ohio,"5500 Millersfield Dr Columbus, OH 43232",OH,43232,(614) 454-1157
The Wapak Church,Reverend Jason P Goss,Ohio,"14871 Fox Ranch Rd Wapakoneta, OH 45895",OH,45895,(419) 738-3112
The Way Assembly of God,Reverend Randale K Carlson,Ohio,"5990 Cubles Dr Bokeelia, FL 33922",FL,33922,(239) 888-2029
The Way Church Napoleon,Reverend Kenneth R Schad,Ohio,"630 Monroe St Napoleon, OH 43545",OH,43545,(419) 540-1116
The Well Cleveland,Reverend Scott A Wehe,Ohio,"12901 W Pleasant Valley Rd Parma, OH 44130",OH,44130,(216) 367-2264
Toledo First Assembly of God,,Ohio,"2324 W Alexis Rd Toledo, OH 43613",OH,43613,(419) 475-3208
Tri County Family Assembly of God,Chaplain Terry D Hunt,Ohio,"835 N Main St Bluffton, OH 45817",OH,45817,(419) 358-1382
Trinity Assembly of God,Reverend Darrell N Ford,Ohio,"111 Lincoln St Coal Grove, OH 45638",OH,45638,(740) 532-5466
Trinity Assembly of God,Reverend Kenneth C Keene,Ohio,"1112 Demorest Rd Columbus, OH 43204",OH,43204,(614) 276-5090
Trinity Assembly of God,Reverend Ted W Kiger,Ohio,"1051 Beech St Mount Vernon, OH 43050",OH,43050,(740) 392-3661
United Church - Bethel,Reverend Jonathan R Taylor,Ohio,"321 N Main St Bethel, OH 45106",OH,45106,(513) 991-8757
Vibrant Life Church,,Ohio,"858 Garfield Ave Newark, OH 43055",OH,43055,(740) 258-8071
Victory Assembly of God,"Reverend James D Lewis, Jr.",Ohio,"311 S College St Newcomerstown, OH 43832",OH,43832,(740) 498-6547
Victory Assembly of God,Reverend Andrew B Warren,Ohio,"4645 S County Road 25A Tipp City, OH 45371",OH,45371,(937) 877-3037
Victory Church of Coitsville,Reverend Juan M Rivera,Ohio,"3899 McCartney Rd Lowellville, OH 44436",OH,44436,(330) 536-2127
Victory Lane Assembly of God,Reverend David M Bill,Ohio,"7550 Bellflower Rd Mentor, OH 44060",OH,44060,(440) 255-4553
Villages Church,Reverend Justin R Meadors,Ohio,"300 Greenglade Ave Worthington, OH 43085",OH,43085,(917) 873-9030
Vision Ministries Assembly of God,Reverend Joshua J Hester,Ohio,"1630 Broadway St Toledo, OH 43609",OH,43609,(567) 246-8002
Vision Waterville,Reverend Joshua J Hester,Ohio,"1101 Westridge Dr Waterville, OH 43566",OH,43566,(419) 242-0140
Water's Edge Assembly of God,Reverend Brent F Heishman,Ohio,"2249 Cherry Valley Rd SE Newark, OH 43055",OH,43055,(740) 522-5255
Westwinds Community Church,Reverend Matthew P Reinhart,Ohio,"5726 Steffens Ave Toledo, OH 43623",OH,43623,(419) 764-3828
Willow Praise Assembly of God,Reverend Larry A Bogenrief,Ohio,"32901 Vine St Willowick, OH 44095",OH,44095,(440) 944-5683
Woodville Community Church,Reverend Charles A Winter,Ohio,"722 W College Ave Woodville, OH 43469",OH,43469,(419) 345-3461
Word of Grace Assembly of God,,Ohio,"9021 Mayfield Rd Chesterland, OH 44026",OH,44026,(440) 729-7006
Word of Life Fellowship Assembly of God,Reverend David S Shores,Ohio,"565 Lovers Ln Steubenville, OH 43953",OH,43953,(740) 264-1227
Yeshua Assembly of God,Reverend C S Riddle,Ohio,"49345 Calcutta Smith Fy East Liverpool, OH 43920",OH,43920,(330) 386-0410
Youngstown Metro Assembly of God,Reverend Cornell A Jordan,Ohio,"2530 South Ave Youngstown, OH 44502",OH,44502,(330) 782-2070
